Password was cracked: CuDa : CuDa

[ perf record: Woken up 1 times to write data ]
[ perf record: Captured and wrote 0.445 MB perf.data (7275 samples) ]

real	0m0.142s
user	0m0.297s
sys	0m0.116s
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 5488494057
#
# Overhead  Command          Shared Object       Symbol                                   
# ........  ...............  ..................  .........................................
#
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c490d12
     0.01%  passwordCracker  libnvomp.so         [.] hxiHostThreadCount
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bd396db
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcb7707
     0.01%  passwordCracker  libnvomp.so         [.] launchTeam
     0.01%  passwordCracker  libnvomp.so         [.] hxdGetCachedUserData
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce71e9
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3883
     0.01%  passwordCracker  libnvomp.so         [.] hxiHostThreadId
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc7089f
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3875
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c02d9d1
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c6000ad
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b1d
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6bc9
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bd06fbc
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6ac6
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6be7
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6ac9
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600080
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcde96b
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce056c
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcead2a
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c490d90
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce05a4
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf37aa
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600146
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf383f
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc04149
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcdea1b
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b36
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcde98e
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce7935
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c491173
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c490b86
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce0594
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcdcd0e
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bceba7c
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c02d983
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6afe
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c490bf2
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce7905
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bceae56
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc0415e
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bceba70
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3507
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6bc1
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf386b
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c60019f
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf352d
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bceb01e
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf37d7
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c490d85
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce7113
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3897
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce0557
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600043
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc041cf
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bdae570
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcead24
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf388b
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc1cff8
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c490b4e
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcde96d
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce724f
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce9bcb
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcead80
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c4770c4
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcea120
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcdd27a
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc1d03b
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c491198
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bd00951
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600158
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc2ac6a
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce9bb1
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bda5c72
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc1ced4
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b04
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bce9b46
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc1cf81
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c6001ec
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600089
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf37ad
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcead40
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9c600085
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bc1cecc
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3a15
     0.01%  passwordCracker  libc-2.28.so        [.] _dl_addr
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_relocate_object
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9be19175
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_lookup_symbol_x
     0.00%  passwordCracker  libnvcpumath.so     [.] __math_epilog_
     0.00%  passwordCracker  ld-2.28.so          [.] strcmp
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bce7980
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b91
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9c801220
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_map_object_deps
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9c6011f0
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bc1e57b
     0.00%  passwordCracker  libnvomp.so         [.] __do_global_dtors_aux
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9c6000f6
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9be4904b
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_sort_maps
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bd28bee
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_fixup
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_start
     0.00%  passwordCracker  libnvomp.so         [.] createSlaveThreads
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_fini
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_runtime_resolve_xsavec
     0.00%  passwordCracker  libc-2.28.so        [.] __clone
     0.00%  passwordCracker  libc-2.28.so        [.] __ctype_init
     0.00%  passwordCracker  libc-2.28.so        [.] __memmove_avx_unaligned_erms
     0.00%  passwordCracker  libc-2.28.so        [.] _setjmp
     0.00%  passwordCracker  libnvomp.so         [.] finalizeRuntime
     0.00%  passwordCracker  libnvomp.so         [.] hxiSetThreadCPUAffinity
     0.00%  passwordCracker  libpthread-2.28.so  [.] __pthread_mutex_lock
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bc04196
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bcdea10
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bce13ae
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9be1844d
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9bf8747f
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9c4827a7
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff9c482ae7


#
# (Tip: To record callchains for each sample: perf record -g)
#
